Fecha;Tipo_de_festivo
09/06/2016;Galicia
09/06/2016;Madrid
09/06/2016;Melilla
09/06/2016;Murcia
09/06/2016;Navarra
09/06/2016;Valencia
09/06/2016;La Rioja
24/06/2016;Andalucia
24/06/2016;Aragón
24/06/2016;Asturias
24/06/2016;Baleares
24/06/2016;Canarias
24/06/2016;Cantabria
24/06/2016;Castilla y León
24/06/2016;Castilla La Mancha
24/06/2016;Cataluña
24/06/2016;Ceuta
24/06/2016;País Vasco
24/06/2016;Extremadura
24/06/2016;Galicia
24/06/2016;Madrid
24/06/2016;Melilla
24/06/2016;Murcia
24/06/2016;Navarra
24/06/2016;Valencia
24/06/2016;La Rioja
25/07/2016;Andalucia
25/07/2016;Aragón
25/07/2016;Asturias
25/07/2016;Baleares
25/07/2016;Canarias
25/07/2016;Cantabria
25/07/2016;Castilla y León
25/07/2016;Castilla La Mancha
25/07/2016;Cataluña
25/07/2016;Ceuta
25/07/2016;País Vasco
25/07/2016;Extremadura
25/07/2016;Galicia
25/07/2016;Madrid
25/07/2016;Melilla
25/07/2016;Murcia
25/07/2016;Navarra
25/07/2016;Valencia
25/07/2016;La Rioja
28/07/2016;Andalucia
28/07/2016;Aragón
28/07/2016;Asturias
28/07/2016;Baleares
28/07/2016;Canarias
28/07/2016;Cantabria
28/07/2016;Castilla y León
28/07/2016;Castilla La Mancha
28/07/2016;Cataluña
28/07/2016;Ceuta
28/07/2016;País Vasco
28/07/2016;Extremadura
28/07/2016;Galicia
28/07/2016;Madrid
28/07/2016;Melilla
28/07/2016;Murcia
28/07/2016;Navarra
28/07/2016;Valencia
28/07/2016;La Rioja
15/08/2016;Festivos nacionales
08/09/2016;Andalucia
08/09/2016;Aragón
08/09/2016;Asturias
08/09/2016;Baleares
08/09/2016;Canarias
08/09/2016;Cantabria
08/09/2016;Castilla y León
08/09/2016;Castilla La Mancha
08/09/2016;Cataluña
08/09/2016;Ceuta
08/09/2016;País Vasco
08/09/2016;Extremadura
08/09/2016;Galicia
08/09/2016;Madrid
08/09/2016;Melilla
08/09/2016;Murcia
08/09/2016;Navarra
08/09/2016;Valencia
08/09/2016;La Rioja
11/09/2016;Andalucia
11/09/2016;Aragón
11/09/2016;Asturias
11/09/2016;Baleares
11/09/2016;Canarias
11/09/2016;Cantabria
11/09/2016;Castilla y León
11/09/2016;Castilla La Mancha
11/09/2016;Cataluña
11/09/2016;Ceuta
11/09/2016;País Vasco
11/09/2016;Extremadura
11/09/2016;Galicia
11/09/2016;Madrid
11/09/2016;Melilla
11/09/2016;Murcia
11/09/2016;Navarra
11/09/2016;Valencia
11/09/2016;La Rioja
15/09/2016;Andalucia
15/09/2016;Aragón
15/09/2016;Asturias
15/09/2016;Baleares
15/09/2016;Canarias
15/09/2016;Cantabria
15/09/2016;Castilla y León
15/09/2016;Castilla La Mancha
15/09/2016;Cataluña
15/09/2016;Ceuta
15/09/2016;País Vasco
15/09/2016;Extremadura
15/09/2016;Galicia
15/09/2016;Madrid
15/09/2016;Melilla
15/09/2016;Murcia
15/09/2016;Navarra
15/09/2016;Valencia
15/09/2016;La Rioja
09/10/2016;Andalucia
09/10/2016;Aragón
09/10/2016;Asturias
09/10/2016;Baleares
09/10/2016;Canarias
09/10/2016;Cantabria
09/10/2016;Castilla y León
09/10/2016;Castilla La Mancha
09/10/2016;Cataluña
09/10/2016;Ceuta
09/10/2016;País Vasco
09/10/2016;Extremadura
09/10/2016;Galicia
09/10/2016;Madrid
09/10/2016;Melilla
09/10/2016;Murcia
09/10/2016;Navarra
09/10/2016;Valencia
09/10/2016;La Rioja
12/10/2016;Festivos nacionales
25/10/2016;Andalucia
25/10/2016;Aragón
25/10/2016;Asturias
25/10/2016;Baleares
25/10/2016;Canarias
25/10/2016;Cantabria
25/10/2016;Castilla y León
25/10/2016;Castilla La Mancha
25/10/2016;Cataluña
25/10/2016;Ceuta
25/10/2016;País Vasco
25/10/2016;Extremadura
25/10/2016;Galicia
25/10/2016;Madrid
25/10/2016;Melilla
25/10/2016;Murcia
25/10/2016;Navarra
25/10/2016;Valencia
25/10/2016;La Rioja
01/11/2016;Festivos nacionales
09/11/2016;Andalucia
09/11/2016;Aragón
09/11/2016;Asturias
09/11/2016;Baleares
09/11/2016;Canarias
09/11/2016;Cantabria
09/11/2016;Castilla y León
09/11/2016;Castilla La Mancha
09/11/2016;Cataluña
09/11/2016;Ceuta
09/11/2016;País Vasco
09/11/2016;Extremadura
09/11/2016;Galicia
09/11/2016;Madrid
09/11/2016;Melilla
09/11/2016;Murcia
09/11/2016;Navarra
09/11/2016;Valencia
09/11/2016;La Rioja
03/12/2016;Andalucia
03/12/2016;Aragón
03/12/2016;Asturias
03/12/2016;Baleares
03/12/2016;Canarias
03/12/2016;Cantabria
03/12/2016;Castilla y León
03/12/2016;Castilla La Mancha
03/12/2016;Cataluña
03/12/2016;Ceuta
03/12/2016;País Vasco
03/12/2016;Extremadura
03/12/2016;Galicia
03/12/2016;Madrid
03/12/2016;Melilla
03/12/2016;Murcia
03/12/2016;Navarra
03/12/2016;Valencia
03/12/2016;La Rioja
06/12/2016;Festivos nacionales
07/12/2016;Día Entre Festivos
08/12/2016;Festivos nacionales
24/12/2016;Nochebuena
26/12/2016;Festivos nacionales
31/12/2016;Nochevieja
01/01/2017;Festivos nacionales
06/01/2017;Festivos nacionales
28/02/2017;Andalucia
28/02/2017;Aragón
28/02/2017;Asturias
28/02/2017;Baleares
28/02/2017;Canarias
28/02/2017;Cantabria
28/02/2017;Castilla y León
28/02/2017;Castilla La Mancha
28/02/2017;Cataluña
28/02/2017;Ceuta
28/02/2017;País Vasco
28/02/2017;Extremadura
28/02/2017;Galicia
28/02/2017;Madrid
28/02/2017;Melilla
28/02/2017;Murcia
28/02/2017;Navarra
28/02/2017;Valencia
28/02/2017;La Rioja
01/03/2017;Andalucia
01/03/2017;Aragón
01/03/2017;Asturias
01/03/2017;Baleares
01/03/2017;Canarias
01/03/2017;Cantabria
01/03/2017;Castilla y León
01/03/2017;Castilla La Mancha
01/03/2017;Cataluña
01/03/2017;Ceuta
01/03/2017;País Vasco
01/03/2017;Extremadura
01/03/2017;Galicia
01/03/2017;Madrid
01/03/2017;Melilla
01/03/2017;Murcia
01/03/2017;Navarra
01/03/2017;Valencia
01/03/2017;La Rioja
19/03/2017;Andalucia
19/03/2017;Aragón
19/03/2017;Asturias
19/03/2017;Baleares
19/03/2017;Canarias
19/03/2017;Cantabria
19/03/2017;Castilla y León
19/03/2017;Castilla La Mancha
19/03/2017;Cataluña
19/03/2017;Ceuta
19/03/2017;País Vasco
19/03/2017;Extremadura
19/03/2017;Galicia
19/03/2017;Madrid
19/03/2017;Melilla
19/03/2017;Murcia
19/03/2017;Navarra
19/03/2017;Valencia
19/03/2017;La Rioja
10/04/2017;Día Entre Festivos
11/04/2017;Día Entre Festivos
12/04/2017;Día Entre Festivos
13/04/2017;Andalucia
13/04/2017;Aragón
13/04/2017;Asturias
13/04/2017;Baleares
13/04/2017;Canarias
13/04/2017;Cantabria
13/04/2017;Castilla y León
13/04/2017;Castilla La Mancha
13/04/2017;Cataluña
13/04/2017;Ceuta
13/04/2017;País Vasco
13/04/2017;Extremadura
13/04/2017;Galicia
13/04/2017;Madrid
13/04/2017;Melilla
13/04/2017;Murcia
13/04/2017;Navarra
13/04/2017;Valencia
13/04/2017;La Rioja
14/04/2017;Festivos nacionales
17/04/2017;Andalucia
17/04/2017;Aragón
17/04/2017;Asturias
17/04/2017;Baleares
17/04/2017;Canarias
17/04/2017;Cantabria
17/04/2017;Castilla y León
17/04/2017;Castilla La Mancha
17/04/2017;Cataluña
17/04/2017;Ceuta
17/04/2017;País Vasco
17/04/2017;Extremadura
17/04/2017;Galicia
17/04/2017;Madrid
17/04/2017;Melilla
17/04/2017;Murcia
17/04/2017;Navarra
17/04/2017;Valencia
17/04/2017;La Rioja
23/04/2017;Andalucia
23/04/2017;Aragón
23/04/2017;Asturias
23/04/2017;Baleares
23/04/2017;Canarias
23/04/2017;Cantabria
23/04/2017;Castilla y León
23/04/2017;Castilla La Mancha
23/04/2017;Cataluña
23/04/2017;Ceuta
23/04/2017;País Vasco
23/04/2017;Extremadura
23/04/2017;Galicia
23/04/2017;Madrid
23/04/2017;Melilla
23/04/2017;Murcia
23/04/2017;Navarra
23/04/2017;Valencia
23/04/2017;La Rioja
01/05/2017;Festivos nacionales
02/05/2017;Andalucia
02/05/2017;Aragón
02/05/2017;Asturias
02/05/2017;Baleares
02/05/2017;Canarias
02/05/2017;Cantabria
02/05/2017;Castilla y León
02/05/2017;Castilla La Mancha
02/05/2017;Cataluña
02/05/2017;Ceuta
02/05/2017;País Vasco
02/05/2017;Extremadura
02/05/2017;Galicia
02/05/2017;Madrid
02/05/2017;Melilla
02/05/2017;Murcia
02/05/2017;Navarra
02/05/2017;Valencia
02/05/2017;La Rioja
15/05/2017;Andalucia
15/05/2017;Aragón
15/05/2017;Asturias
15/05/2017;Baleares
15/05/2017;Canarias
15/05/2017;Cantabria
15/05/2017;Castilla y León
15/05/2017;Castilla La Mancha
15/05/2017;Cataluña
15/05/2017;Ceuta
15/05/2017;País Vasco
15/05/2017;Extremadura
15/05/2017;Galicia
15/05/2017;Madrid
15/05/2017;Melilla
15/05/2017;Murcia
15/05/2017;Navarra
15/05/2017;Valencia
15/05/2017;La Rioja
17/05/2017;Andalucia
17/05/2017;Aragón
17/05/2017;Asturias
17/05/2017;Baleares
17/05/2017;Canarias
17/05/2017;Cantabria
17/05/2017;Castilla y León
17/05/2017;Castilla La Mancha
17/05/2017;Cataluña
17/05/2017;Ceuta
17/05/2017;País Vasco
17/05/2017;Extremadura
17/05/2017;Galicia
17/05/2017;Madrid
17/05/2017;Melilla
17/05/2017;Murcia
17/05/2017;Navarra
17/05/2017;Valencia
17/05/2017;La Rioja
30/05/2017;Andalucia
30/05/2017;Aragón
30/05/2017;Asturias
30/05/2017;Baleares
30/05/2017;Canarias
30/05/2017;Cantabria
30/05/2017;Castilla y León
30/05/2017;Castilla La Mancha
30/05/2017;Cataluña
30/05/2017;Ceuta
30/05/2017;País Vasco
30/05/2017;Extremadura
30/05/2017;Galicia
30/05/2017;Madrid
30/05/2017;Melilla
30/05/2017;Murcia
30/05/2017;Navarra
30/05/2017;Valencia
30/05/2017;La Rioja
31/05/2017;Andalucia
31/05/2017;Aragón
31/05/2017;Asturias
31/05/2017;Baleares
31/05/2017;Canarias
31/05/2017;Cantabria
31/05/2017;Castilla y León
31/05/2017;Castilla La Mancha
31/05/2017;Cataluña
31/05/2017;Ceuta
31/05/2017;País Vasco
31/05/2017;Extremadura
31/05/2017;Galicia
31/05/2017;Madrid
31/05/2017;Melilla
31/05/2017;Murcia
31/05/2017;Navarra
31/05/2017;Valencia
31/05/2017;La Rioja
05/06/2017;Andalucia
05/06/2017;Aragón
05/06/2017;Asturias
05/06/2017;Baleares
05/06/2017;Canarias
05/06/2017;Cantabria
05/06/2017;Castilla y León
05/06/2017;Castilla La Mancha
05/06/2017;Cataluña
05/06/2017;Ceuta
05/06/2017;País Vasco
05/06/2017;Extremadura
05/06/2017;Galicia
05/06/2017;Madrid
05/06/2017;Melilla
05/06/2017;Murcia
05/06/2017;Navarra
05/06/2017;Valencia
05/06/2017;La Rioja
09/06/2017;Andalucia
09/06/2017;Aragón
09/06/2017;Asturias
09/06/2017;Baleares
09/06/2017;Canarias
09/06/2017;Cantabria
09/06/2017;Castilla y León
09/06/2017;Castilla La Mancha
09/06/2017;Cataluña
09/06/2017;Ceuta
09/06/2017;País Vasco
09/06/2017;Extremadura
09/06/2017;Galicia
09/06/2017;Madrid
09/06/2017;Melilla
09/06/2017;Murcia
09/06/2017;Navarra
09/06/2017;Valencia
09/06/2017;La Rioja
15/06/2017;Andalucia
15/06/2017;Aragón
15/06/2017;Asturias
15/06/2017;Baleares
15/06/2017;Canarias
15/06/2017;Cantabria
15/06/2017;Castilla y León
15/06/2017;Castilla La Mancha
15/06/2017;Cataluña
15/06/2017;Ceuta
15/06/2017;País Vasco
15/06/2017;Extremadura
15/06/2017;Galicia
15/06/2017;Madrid
15/06/2017;Melilla
15/06/2017;Murcia
15/06/2017;Navarra
15/06/2017;Valencia
15/06/2017;La Rioja
24/06/2017;Andalucia
24/06/2017;Aragón
24/06/2017;Asturias
24/06/2017;Baleares
24/06/2017;Canarias
24/06/2017;Cantabria
24/06/2017;Castilla y León
24/06/2017;Castilla La Mancha
24/06/2017;Cataluña
24/06/2017;Ceuta
24/06/2017;País Vasco
24/06/2017;Extremadura
24/06/2017;Galicia
24/06/2017;Madrid
24/06/2017;Melilla
24/06/2017;Murcia
24/06/2017;Navarra
24/06/2017;Valencia
24/06/2017;La Rioja
25/07/2017;Andalucia
25/07/2017;Aragón
25/07/2017;Asturias
25/07/2017;Baleares
25/07/2017;Canarias
25/07/2017;Cantabria
25/07/2017;Castilla y León
25/07/2017;Castilla La Mancha
25/07/2017;Cataluña
25/07/2017;Ceuta
25/07/2017;País Vasco
25/07/2017;Extremadura
25/07/2017;Galicia
25/07/2017;Madrid
25/07/2017;Melilla
25/07/2017;Murcia
25/07/2017;Navarra
25/07/2017;Valencia
25/07/2017;La Rioja
28/07/2017;Andalucia
28/07/2017;Aragón
28/07/2017;Asturias
28/07/2017;Baleares
28/07/2017;Canarias
28/07/2017;Cantabria
28/07/2017;Castilla y León
28/07/2017;Castilla La Mancha
28/07/2017;Cataluña
28/07/2017;Ceuta
28/07/2017;País Vasco
28/07/2017;Extremadura
28/07/2017;Galicia
28/07/2017;Madrid
28/07/2017;Melilla
28/07/2017;Murcia
28/07/2017;Navarra
28/07/2017;Valencia
28/07/2017;La Rioja
15/08/2017;Festivos nacionales
08/09/2017;Andalucia
08/09/2017;Aragón
08/09/2017;Asturias
08/09/2017;Baleares
08/09/2017;Canarias
08/09/2017;Cantabria
08/09/2017;Castilla y León
08/09/2017;Castilla La Mancha
08/09/2017;Cataluña
08/09/2017;Ceuta
08/09/2017;País Vasco
08/09/2017;Extremadura
08/09/2017;Galicia
08/09/2017;Madrid
08/09/2017;Melilla
08/09/2017;Murcia
08/09/2017;Navarra
08/09/2017;Valencia
08/09/2017;La Rioja
11/09/2017;Andalucia
11/09/2017;Aragón
11/09/2017;Asturias
11/09/2017;Baleares
11/09/2017;Canarias
11/09/2017;Cantabria
11/09/2017;Castilla y León
11/09/2017;Castilla La Mancha
11/09/2017;Cataluña
11/09/2017;Ceuta
11/09/2017;País Vasco
11/09/2017;Extremadura
11/09/2017;Galicia
11/09/2017;Madrid
11/09/2017;Melilla
11/09/2017;Murcia
11/09/2017;Navarra
11/09/2017;Valencia
11/09/2017;La Rioja
15/09/2017;Andalucia
15/09/2017;Aragón
15/09/2017;Asturias
15/09/2017;Baleares
15/09/2017;Canarias
15/09/2017;Cantabria
15/09/2017;Castilla y León
15/09/2017;Castilla La Mancha
15/09/2017;Cataluña
15/09/2017;Ceuta
15/09/2017;País Vasco
15/09/2017;Extremadura
