Fecha,Fecha,MAE,MAPE
2020,1,5.138750000000005,13.460577696419177
2020,2,5.904669540229887,21.01420614758875
2020,3,4.367258064516127,18.141171947303828
2020,4,4.8351388888888955,36.99452406015495
2020,5,4.310026881720432,28.835567910730227
2020,6,4.257555555555556,15.5320850797326
2020,7,3.984448924731181,12.178099758429648
2020,8,4.771881720430114,13.667934289705226
2020,9,5.737041666666666,15.46264932966722
2020,10,7.345524193548392,36.20968870852492
2020,11,5.806583333333334,16.8053493721328
2020,12,7.921223118279565,48.32259712238342
2021,1,11.66920698924733,88.30387983132209
2021,2,14.756949404761905,373.16481532389923
2021,3,9.488427419354858,28.19094316781505
2021,4,7.661180555555562,17.737826201181786
