,Pred,Real,MAE,MAPE
2020-06-01 00:00:00,33.637019368724054,35.4,1.7629806312759442,4.980171274790803
2020-06-01 01:00:00,30.661197278606103,34.07,3.408802721393897,10.005291228041964
2020-06-01 02:00:00,29.243594596881344,34.26,5.016405403118654,14.64216404879934
2020-06-01 03:00:00,28.37884996621942,33.52,5.141150033780583,15.337559766648518
2020-06-01 04:00:00,28.241853627952025,33.5,5.258146372047975,15.695959319546194
2020-06-01 05:00:00,29.82743832319938,33.5,3.672561676800619,10.962870677016772
2020-06-01 06:00:00,31.282445870228287,34.42,3.137554129771715,9.115497181207772
2020-06-01 07:00:00,32.018795725241574,34.26,2.2412042747584238,6.541752115465335
2020-06-01 08:00:00,31.487565282730287,33.33,1.842434717269711,5.527856937502884
2020-06-01 09:00:00,32.13042004873612,34.42,2.2895799512638817,6.6518882953628165
2020-06-01 10:00:00,31.675048641120235,34.07,2.3949513588797657,7.0295020806567825
2020-06-01 11:00:00,32.3382281456848,33.58,1.2417718543151963,3.697950727561633
2020-06-01 12:00:00,31.87232480053442,34.15,2.277675199465577,6.669619910587341
2020-06-01 13:00:00,32.16870864392701,34.45,2.281291356072991,6.6220358666850245
2020-06-01 14:00:00,30.4092615502244,33.58,3.170738449775598,9.442342018390704
2020-06-01 15:00:00,27.457013824807625,33.28,5.822986175192376,17.4969536514194
2020-06-01 16:00:00,27.693580417035477,32.9,5.2064195829645215,15.82498353484657
2020-06-01 17:00:00,28.094059850054606,33.33,5.235940149945392,15.709391388975074
2020-06-01 18:00:00,31.79082891613858,33.5,1.7091710838614205,5.102003235407225
2020-06-01 19:00:00,32.5822221128279,34.07,1.4877778871721006,4.366826789469036
2020-06-01 20:00:00,35.9460378920942,35.08,0.8660378920942051,2.468751117714382
2020-06-01 21:00:00,36.95611244975917,36.33,0.6261124497591695,1.7234033849688122
2020-06-01 22:00:00,36.43551851575104,36.67,0.23448148424895976,0.6394368264220337
2020-06-01 23:00:00,34.047798643778656,35.75,1.7022013562213445,4.76140239502474
2020-06-02 00:00:00,33.16665660098234,35.1,1.9333433990176587,5.508100851902161
2020-06-02 01:00:00,30.489591375287837,33.53,3.040408624712164,9.067726289031208
2020-06-02 02:00:00,29.09067142707171,33.09,3.9993285729282917,12.086215088934091
2020-06-02 03:00:00,28.23703823480266,33.04,4.802961765197338,14.536809216698964
2020-06-02 04:00:00,28.208874678041035,32.67,4.461125321958967,13.655112708781655
2020-06-02 05:00:00,29.085670270951148,32.84,3.7543297290488553,11.43218553303549
2020-06-02 06:00:00,30.633635225507234,33.0,2.366364774492766,7.1708023469477755
2020-06-02 07:00:00,32.132316396868,34.75,2.6176836031320008,7.532902455056117
2020-06-02 08:00:00,32.408189048735785,35.16,2.7518109512642113,7.826538541707086
2020-06-02 09:00:00,32.90301735353474,36.17,3.2669826464652587,9.032299271399664
2020-06-02 10:00:00,32.68755094904295,36.15,3.462449050957048,9.57800567346348
2020-06-02 11:00:00,32.18100754140077,36.17,3.9889924585992347,11.028455788220167
2020-06-02 12:00:00,32.35853769155494,36.0,3.641462308445057,10.115173079014045
2020-06-02 13:00:00,32.617831300141454,36.17,3.552168699858548,9.820759468782272
2020-06-02 14:00:00,31.471450838619127,35.75,4.278549161380873,11.96796968218426
2020-06-02 15:00:00,29.93654057552775,34.5,4.563459424472249,13.227418621658693
2020-06-02 16:00:00,29.519984417963926,34.01,4.490015582036072,13.20204522798022
2020-06-02 17:00:00,30.620397151983255,34.07,3.4496028480167453,10.125045048478853
2020-06-02 18:00:00,31.7428880186515,34.16,2.417111981348498,7.075854746336352
2020-06-02 19:00:00,33.38916141968289,34.42,1.0308385803171092,2.994882569195552
2020-06-02 20:00:00,34.82411078244424,36.0,1.1758892175557634,3.266358937654898
2020-06-02 21:00:00,36.27922626632675,36.78,0.500773733673249,1.3615381557184583
2020-06-02 22:00:00,35.86975965298056,37.01,1.1402403470194358,3.0808979924869924
2020-06-02 23:00:00,33.45429816337841,36.21,2.75570183662159,7.610333710636813
2020-06-03 00:00:00,33.52614642808529,34.9,1.373853571914708,3.9365431860020292
2020-06-03 01:00:00,31.60849461679667,33.65,2.0415053832033294,6.066880782179285
2020-06-03 02:00:00,30.049126434999295,34.03,3.9808735650007065,11.69812978254689
2020-06-03 03:00:00,29.36673738843831,34.0,4.63326261156169,13.627242975181442
2020-06-03 04:00:00,29.40484425352394,34.02,4.615155746476063,13.5660074852324
2020-06-03 05:00:00,30.23918567860889,34.42,4.180814321391111,12.146468103983471
2020-06-03 06:00:00,31.92139715752935,35.53,3.6086028424706527,10.156495475571777
2020-06-03 07:00:00,33.86255921244261,35.57,1.7074407875573883,4.800227122736542
2020-06-03 08:00:00,33.972545727735714,35.67,1.697454272264288,4.758772840662428
2020-06-03 09:00:00,33.8930704168562,36.15,2.256929583143801,6.2432353613936415
2020-06-03 10:00:00,32.890107748102736,35.53,2.6398922518972654,7.43003729776883
2020-06-03 11:00:00,31.7369749848161,35.52,3.7830250151839024,10.650408263468194
2020-06-03 12:00:00,31.705742676981416,35.53,3.8242573230185855,10.763459957834465
2020-06-03 13:00:00,31.353254325026086,34.9,3.546745674973913,10.162595057231842
2020-06-03 14:00:00,29.18822505782429,32.94,3.7517749421757074,11.389723564589277
2020-06-03 15:00:00,26.481352872573424,26.04,0.44135287257342526,1.6949035045062413
2020-06-03 16:00:00,25.027559490848226,25.78,0.752440509151775,2.9186986390681726
2020-06-03 17:00:00,26.0578087442561,26.18,0.12219125574389977,0.46673512507219167
2020-06-03 18:00:00,27.993793300451458,27.5,0.49379330045145764,1.7956120016416641
2020-06-03 19:00:00,29.823809492500615,30.69,0.8661905074993861,2.8223867953710853
2020-06-03 20:00:00,32.13072777571555,29.0,3.130727775715549,10.79561301970879
2020-06-03 21:00:00,33.749709106978415,32.58,1.1697091069784165,3.5902673633468893
2020-06-03 22:00:00,33.38161101809162,33.09,0.29161101809161494,0.881266298252085
2020-06-03 23:00:00,30.53992434634938,30.98,0.44007565365062007,1.4205153442563592
2020-06-04 00:00:00,29.72912046091816,22.17,7.559120460918159,34.096168069094084
2020-06-04 01:00:00,27.667473796290295,21.8,5.8674737962902945,26.91501741417566
2020-06-04 02:00:00,26.488445319624795,22.0,4.488445319624795,20.4020241801127
2020-06-04 03:00:00,25.122238092411962,21.9,3.2222380924119634,14.713415947086592
2020-06-04 04:00:00,24.56044991051388,21.8,2.7604499105138807,12.662614268412295
2020-06-04 05:00:00,24.652571584769674,21.8,2.8525715847696738,13.085190755824192
2020-06-04 06:00:00,25.78173874152452,22.0,3.7817387415245207,17.189721552384185
2020-06-04 07:00:00,26.649480577603626,26.85,0.20051942239637555,0.7468134912341733
2020-06-04 08:00:00,26.226377977564397,31.06,4.833622022435602,15.562208700694146
2020-06-04 09:00:00,25.550876288136237,33.04,7.489123711863762,22.666839321621556
2020-06-04 10:00:00,23.727478285362192,31.82,8.092521714637808,25.432186406781295
2020-06-04 11:00:00,23.11661829337232,31.77,8.65338170662768,27.237587996939506
2020-06-04 12:00:00,22.663223637280865,30.5,7.836776362719135,25.694348730226675
