,Pred,Real,MAE,MAPE
2021-01-01 00:00:00,36.39556629932281,50.87,14.474433700677189,28.45377177251266
2021-01-01 01:00:00,33.393138077859135,48.19,14.796861922140863,30.705254040549622
2021-01-01 02:00:00,28.99982470140347,44.68,15.68017529859653,35.09439413293762
2021-01-01 03:00:00,23.741519970031305,38.5,14.758480029968695,38.333714363555046
2021-01-01 04:00:00,19.49578306079397,36.8,17.30421693920603,47.02232863914682
2021-01-01 05:00:00,19.497044559499415,36.55,17.052955440500583,46.65651283310693
2021-01-01 06:00:00,20.233246034196412,36.6,16.36675396580359,44.71790701039232
2021-01-01 07:00:00,21.156857329083806,36.55,15.393142670916191,42.1153014252153
2021-01-01 08:00:00,21.098159583769984,36.55,15.451840416230013,42.275897171627946
2021-01-01 09:00:00,20.674033807602967,36.55,15.87596619239703,43.436296012030176
2021-01-01 10:00:00,19.65836531928727,37.55,17.891634680712727,47.6474958208062
2021-01-01 11:00:00,20.294190489803555,37.55,17.255809510196443,45.95421973421157
2021-01-01 12:00:00,21.278862556249038,37.55,16.27113744375096,43.33192395140069
2021-01-01 13:00:00,24.21549121844555,37.55,13.334508781554447,35.511341628640345
2021-01-01 14:00:00,25.325806663262455,36.6,11.274193336737547,30.8038069309769
2021-01-01 15:00:00,22.27461813730659,35.5,13.22538186269341,37.25459679631947
2021-01-01 16:00:00,25.166280302721418,36.0,10.833719697278582,30.09366582577384
2021-01-01 17:00:00,31.814490751098674,38.5,6.685509248901326,17.364959088055393
2021-01-01 18:00:00,39.13442211491048,52.01,12.87557788508952,24.755965939414576
2021-01-01 19:00:00,43.02009039921461,55.16,12.139909600785387,22.008538072489824
2021-01-01 20:00:00,45.06511004427165,57.4,12.33488995572835,21.489355323568553
2021-01-01 21:00:00,44.504167983072875,53.86,9.355832016927124,17.370649864328115
2021-01-01 22:00:00,43.13948977478714,53.45,10.310510225212866,19.290009775889363
2021-01-01 23:00:00,36.90251468330888,49.72,12.81748531669112,25.77933490887192
2021-01-02 00:00:00,41.524411661335904,46.69,5.165588338664094,11.063586075528152
2021-01-02 01:00:00,36.619772653304125,42.43,5.810227346695875,13.693677460984857
2021-01-02 02:00:00,33.5883959170026,40.1,6.511604082997401,16.238414172063344
2021-01-02 03:00:00,28.78623473654588,39.11,10.32376526345412,26.396740637826955
2021-01-02 04:00:00,26.759265309190965,37.55,10.790734690809032,28.73697654010395
2021-01-02 05:00:00,28.313118072335897,37.7,9.386881927664106,24.89889105481195
2021-01-02 06:00:00,33.09249486865417,39.6,6.50750513134583,16.43309376602482
2021-01-02 07:00:00,35.00709840836129,43.34,8.332901591638716,19.226814932253614
2021-01-02 08:00:00,39.856693636308165,48.45,8.593306363691838,17.736442443120406
2021-01-02 09:00:00,43.50953552901362,51.6,8.090464470986383,15.67919471121392
2021-01-02 10:00:00,44.0027575021808,52.0,7.997242497819201,15.379312495806156
2021-01-02 11:00:00,42.68319780643887,51.25,8.56680219356113,16.715711597192453
2021-01-02 12:00:00,41.12017099867853,50.56,9.43982900132147,18.670547866537717
2021-01-02 13:00:00,41.017522613695405,50.57,9.552477386304595,18.88961318233062
2021-01-02 14:00:00,40.91386369325369,50.57,9.656136306746312,19.094594239166128
2021-01-02 15:00:00,39.470535606439825,48.45,8.979464393560178,18.533466240578285
2021-01-02 16:00:00,41.54450142126345,50.25,8.705498578736552,17.324375281067766
2021-01-02 17:00:00,46.9652439312336,54.23,7.2647560687663955,13.396194115372296
2021-01-02 18:00:00,52.528393173337406,58.65,6.1216068266625925,10.437522296099901
2021-01-02 19:00:00,53.24139476021412,60.43,7.188605239785879,11.89575581629303
2021-01-02 20:00:00,54.33291193563514,60.03,5.697088064364863,9.49040157315486
2021-01-02 21:00:00,52.542154614428966,55.03,2.4878453855710347,4.520889306870861
2021-01-02 22:00:00,51.4567066500866,52.25,0.7932933499133981,1.51826478452325
2021-01-02 23:00:00,48.59142320158594,48.45,0.1414232015859369,0.29189515291215046
2021-01-03 00:00:00,47.1049804957172,46.11,0.9949804957172006,2.157841023025809
2021-01-03 01:00:00,42.28578467894397,43.0,0.7142153210560309,1.660965862921002
2021-01-03 02:00:00,38.665803399910374,39.55,0.8841966000896235,2.2356424781027147
2021-01-03 03:00:00,37.4045347035794,37.44,0.035465296420596815,0.0947256848840727
2021-01-03 04:00:00,37.22503424305751,35.64,1.5850342430575068,4.447346360991882
2021-01-03 05:00:00,37.9067061234729,35.5,2.406706123472901,6.779453868937749
2021-01-03 06:00:00,38.985170306654084,36.14,2.845170306654083,7.872635048849149
2021-01-03 07:00:00,40.98800336775355,36.97,4.0180033677535505,10.868280680967137
2021-01-03 08:00:00,44.408169217191926,38.92,5.488169217191924,14.101154206556846
2021-01-03 09:00:00,47.10495742849099,44.49,2.614957428490989,5.877629643719912
2021-01-03 10:00:00,49.90812448054743,49.0,0.9081244805474284,1.8533152664233234
2021-01-03 11:00:00,49.99875302623565,50.3,0.30124697376434995,0.5989005442631211
2021-01-03 12:00:00,49.31563656297669,48.0,1.3156365629766924,2.740909506201443
2021-01-03 13:00:00,49.15234312823503,46.64,2.512343128235031,5.3866705150836856
2021-01-03 14:00:00,49.18489131358649,44.01,5.1748913135864925,11.758444248094735
2021-01-03 15:00:00,47.95213743901297,41.27,6.682137439012969,16.19127075118238
2021-01-03 16:00:00,51.13899535842927,49.92,1.218995358429268,2.441897753263758
2021-01-03 17:00:00,53.79207722825549,55.16,1.367922771744503,2.479918005338113
2021-01-03 18:00:00,56.572427744936874,59.29,2.717572255063125,4.583525476578049
2021-01-03 19:00:00,58.181284762773714,61.09,2.908715237226289,4.761360676422146
2021-01-03 20:00:00,58.08229693197626,60.0,1.9177030680237408,3.196171780039568
2021-01-03 21:00:00,55.83329839309454,59.4,3.566701606905461,6.004548159773504
2021-01-03 22:00:00,54.96324161974417,55.36,0.3967583802558323,0.7166878256066336
2021-01-03 23:00:00,50.37197582706301,53.06,2.6880241729369914,5.066008618426293
2021-01-04 00:00:00,48.02800907478303,50.23,2.2019909252169683,4.3838162954747535
2021-01-04 01:00:00,44.00474771162237,47.01,3.0052522883776263,6.392793636200013
2021-01-04 02:00:00,41.40336868046194,43.79,2.3866313195380613,5.4501742853118555
2021-01-04 03:00:00,40.03281604477215,41.65,1.6171839552278513,3.8827946103909996
2021-01-04 04:00:00,39.99745134636726,41.62,1.622548653632741,3.898483069756706
2021-01-04 05:00:00,41.40198624521082,44.5,3.0980137547891786,6.961828662447593
2021-01-04 06:00:00,45.38793419759918,56.0,10.61206580240082,18.95011750428718
2021-01-04 07:00:00,52.96295033388151,62.0,9.037049666118492,14.575886558255633
2021-01-04 08:00:00,57.69216089126337,64.84,7.147839108736633,11.023811086885615
2021-01-04 09:00:00,60.02342623287478,68.25,8.226573767125217,12.053587937179804
2021-01-04 10:00:00,60.28604719215855,65.97,5.68395280784145,8.615966057058436
2021-01-04 11:00:00,60.251949039106876,63.93,3.678050960893124,5.753247240564874
2021-01-04 12:00:00,58.8627048711557,63.94,5.077295128844298,7.940718062002343
2021-01-04 13:00:00,58.31820084938039,63.94,5.6217991506196086,8.792303957803579
2021-01-04 14:00:00,57.188480375263225,61.97,4.781519624736774,7.715861908563457
2021-01-04 15:00:00,56.50377832585718,62.45,5.946221674142819,9.521571936177454
2021-01-04 16:00:00,59.5962720402332,63.9,4.303727959766796,6.735098528586536
2021-01-04 17:00:00,63.43335741128476,67.02,3.586642588715236,5.351600400947831
2021-01-04 18:00:00,65.00812077547369,71.05,6.041879224526312,8.50370052713063
2021-01-04 19:00:00,65.95349435180157,72.6,6.646505648198428,9.154966457573591
2021-01-04 20:00:00,65.51935743704774,70.0,4.480642562952255,6.40091794707465
2021-01-04 21:00:00,64.72340588251842,66.0,1.2765941174815794,1.9342335113357263
2021-01-04 22:00:00,62.74231214798124,62.48,0.26231214798124114,0.41983378358073165
2021-01-04 23:00:00,59.32885501359027,61.25,1.921144986409729,3.136563243117925
2021-01-05 00:00:00,57.19785293293387,64.68,7.482147067066137,11.56794537270584
2021-01-05 01:00:00,53.31736811643981,56.25,2.932631883560191,5.213567792995895
2021-01-05 02:00:00,50.05951060640285,51.86,1.8004893935971467,3.4718268291499164
2021-01-05 03:00:00,48.47430415127167,50.91,2.4356958487283293,4.784317125767687
2021-01-05 04:00:00,47.85021982304005,50.56,2.7097801769599528,5.3595335778480075
2021-01-05 05:00:00,49.00040466031152,51.25,2.249595339688483,4.389454321343381
2021-01-05 06:00:00,54.63518749569107,58.45,3.8148125043089323,6.526625328158994
2021-01-05 07:00:00,62.08356174926524,68.3,6.216438250734754,9.101666545731705
