,Pred,Real,MAE,MAPE
2020-06-01 00:00:00,34.54881286621094,35.4,0.8511871337890611,2.4044834287826586
2020-06-01 01:00:00,33.31930160522461,34.07,0.7506983947753909,2.2034000433677456
2020-06-01 02:00:00,32.67863464355469,34.26,1.5813653564453105,4.615777456057532
2020-06-01 03:00:00,32.32041549682617,33.52,1.1995845031738313,3.578712718299019
2020-06-01 04:00:00,32.37761688232422,33.5,1.1223831176757812,3.350397366196362
2020-06-01 05:00:00,33.213417053222656,33.5,0.28658294677734375,0.855471482917444
2020-06-01 06:00:00,35.1351432800293,34.42,0.7151432800292952,2.07769692048023
2020-06-01 07:00:00,33.96220016479492,34.26,0.29779983520507614,0.8692347787655463
2020-06-01 08:00:00,34.38487243652344,33.33,1.0548724365234392,3.1649338029506127
2020-06-01 09:00:00,33.80036163330078,34.42,0.6196383666992205,1.8002276778013377
2020-06-01 10:00:00,33.19796371459961,34.07,0.8720362854003909,2.559542956854684
2020-06-01 11:00:00,33.02688980102539,33.58,0.5531101989746077,1.6471417479887067
2020-06-01 12:00:00,33.04285430908203,34.15,1.1071456909179673,3.2420078797012226
2020-06-01 13:00:00,34.395503997802734,34.45,0.05449600219726847,0.15818868562342078
2020-06-01 14:00:00,32.81216049194336,33.58,0.7678395080566389,2.2865977011811762
2020-06-01 15:00:00,32.620784759521484,33.28,0.6592152404785168,1.9808150254763124
2020-06-01 16:00:00,31.8177433013916,32.9,1.082256698608397,3.2895340383233953
2020-06-01 17:00:00,31.882835388183594,33.33,1.4471646118164045,4.341928028252039
2020-06-01 18:00:00,31.629959106445312,33.5,1.8700408935546875,5.582211622551306
2020-06-01 19:00:00,32.84754180908203,34.07,1.222458190917969,3.588078047895418
2020-06-01 20:00:00,34.93617630004883,35.08,0.14382369995117017,0.4099877421641111
2020-06-01 21:00:00,36.06278610229492,36.33,0.2672138977050764,0.7355185733693268
2020-06-01 22:00:00,35.760284423828125,36.67,0.9097155761718767,2.4808169516549676
2020-06-01 23:00:00,35.295169830322266,35.75,0.4548301696777344,1.2722522228747815
2020-06-02 00:00:00,35.46953582763672,35.1,0.36953582763671733,1.0528086257456333
2020-06-02 01:00:00,35.48051071166992,33.53,1.9505107116699207,5.81721059251393
2020-06-02 02:00:00,35.1930046081543,33.09,2.1030046081542935,6.3554083050900365
2020-06-02 03:00:00,34.58705520629883,33.04,1.547055206298829,4.682370479112678
2020-06-02 04:00:00,34.653656005859375,32.67,1.9836560058593733,6.0717967733681455
2020-06-02 05:00:00,35.19346618652344,32.84,2.353466186523434,7.166462200132259
2020-06-02 06:00:00,35.60395050048828,33.0,2.6039505004882812,7.890759092388731
2020-06-02 07:00:00,34.99982833862305,34.75,0.24982833862304688,0.7189304708576889
2020-06-02 08:00:00,35.282310485839844,35.16,0.12231048583984716,0.3478682759950147
2020-06-02 09:00:00,36.36164474487305,36.17,0.19164474487304517,0.5298444702047143
2020-06-02 10:00:00,35.75925827026367,36.15,0.3907417297363267,1.0808899854393548
2020-06-02 11:00:00,35.378990173339844,36.17,0.791009826660158,2.1869223850156425
2020-06-02 12:00:00,35.57273483276367,36.0,0.4272651672363281,1.1868476867675781
2020-06-02 13:00:00,35.83272933959961,36.17,0.33727066040039233,0.9324596638108718
2020-06-02 14:00:00,35.178428649902344,35.75,0.5715713500976562,1.5988009792941433
2020-06-02 15:00:00,33.83415222167969,34.5,0.6658477783203125,1.929993560348732
2020-06-02 16:00:00,33.38702392578125,34.01,0.622976074218748,1.8317438230483623
2020-06-02 17:00:00,33.669891357421875,34.07,0.4001086425781253,1.1743722999064434
2020-06-02 18:00:00,34.02943801879883,34.16,0.13056198120116846,0.3822072049214534
