,Real,Pred
289,70.35,76.2707
290,67.65,70.26886
291,62.15,66.69373
292,60.0,65.88742
293,60.39,69.62578
294,67.65,77.86815
295,83.22,87.912796
296,95.0,94.33806
297,98.13,96.862495
298,97.0,97.51098
299,95.0,97.26671
300,88.75,97.98339
301,88.31,98.484
302,88.75,99.06494
303,82.87,99.85232
304,88.75,101.03204
305,95.98,103.1575
306,100.17,104.37255
307,103.68,105.01814
308,107.72,104.11455
309,102.89,100.62496
310,99.05,94.1419
311,95.59,86.77171
312,68.85,88.59363
313,60.0,78.00326
314,55.48,68.69936
315,54.6,63.269817
316,52.7,60.641212
317,54.4,60.829056
318,62.97,68.45743
319,77.94,83.26154
320,90.04,94.92946
321,97.76,100.1109
322,90.69,101.49208
323,86.97,100.19127
324,79.25,98.025734
325,76.64,95.80634
326,77.14,94.15196
327,76.98,95.21294
328,82.0,98.62795
329,88.22,102.36599
330,98.02,104.609695
331,96.01,105.80698
332,98.02,106.87577
333,94.29,105.83188
334,84.12,101.95508
335,79.0,94.76208
336,64.37,65.477554
337,59.91,59.294525
338,55.1,55.76685
339,52.2,54.203217
340,52.0,54.226753
341,52.0,56.6752
342,53.56,63.280453
343,54.3,74.61529
344,61.96,84.48907
345,66.69,88.62302
346,70.09,89.20122
347,69.05,86.19836
348,68.05,81.54866
349,66.69,76.61044
350,67.54,71.208824
351,65.5,68.93276
352,66.69,71.51293
353,70.09,78.564865
354,83.94,85.3649
355,88.82,88.888374
356,93.79,90.93472
357,89.03,89.87386
358,83.67,86.126236
359,70.24,78.698715
360,66.05,61.846233
361,60.0,56.237934
362,55.25,52.523277
363,55.0,50.42144
364,54.99,49.563786
365,54.99,49.86172
366,54.99,51.46939
367,55.25,54.974586
368,55.68,60.642395
369,59.69,65.84374
370,61.17,67.79244
371,62.4,66.319374
372,63.45,63.75744
373,61.75,61.632004
374,61.69,60.3268
375,55.18,61.02857
376,60.6,65.40871
377,67.05,74.307785
378,72.0,83.34795
379,82.01,87.23191
380,86.6,88.95804
381,87.84,87.396736
382,83.67,79.83201
383,70.97,69.87746
384,81.28,67.2865
385,79.53,61.78806
386,72.05,58.049187
387,70.5,55.669487
388,70.0,54.342422
389,74.69,54.091927
390,77.84,55.23447
391,80.22,58.643326
392,83.59,64.584755
393,85.66,70.57022
394,83.05,73.01922
395,77.84,72.2685
396,77.69,70.71768
397,76.59,69.30662
398,73.22,67.91417
399,72.05,68.74856
400,75.84,72.77478
401,82.89,79.444954
402,92.81,84.785355
403,110.9,87.22871
404,115.98,88.91846
405,99.01,88.484924
406,83.39,83.16168
407,73.21,75.09009
408,84.05,77.42266
409,70.79,70.72725
410,63.05,66.1353
411,59.5,63.28955
412,58.22,61.691463
413,59.35,61.36855
414,61.8,63.287285
415,74.39,70.54787
416,91.2,80.50323
417,93.72,86.253784
418,91.79,86.83408
419,86.48,83.8684
420,84.0,79.23794
421,80.0,74.61218
422,74.29,71.30615
423,70.9,72.43042
424,73.35,78.15663
425,78.49,87.380585
426,84.69,94.28051
427,91.2,97.32878
428,91.97,99.32698
429,84.69,98.74866
430,69.05,93.138374
431,58.2,85.25937
432,50.15,76.725815
433,44.7,71.7435
434,40.25,68.31246
435,38.49,66.20948
436,29.67,65.04472
437,36.65,64.71839
438,44.97,67.271225
439,56.12,76.06302
440,60.69,85.54282
441,64.05,89.65689
442,63.83,88.44423
443,59.64,84.71272
444,55.01,79.61349
445,51.6,74.82898
446,49.86,71.44504
447,44.95,70.305374
448,48.03,72.08804
449,54.01,77.62229
450,58.2,85.90507
451,64.69,91.989334
452,67.9,96.108475
453,62.69,96.67404
454,51.05,92.09123
455,42.7,84.64343
456,30.700000000000003,62.882095
457,21.120000000000005,61.24678
458,11.189999999999998,60.367622
459,3.6700000000000017,60.051163
460,3.1500000000000057,60.045967
461,16.769999999999996,60.289192
462,37.5,61.435665
463,49.52,64.72116
464,56.3,68.7464
465,58.75,70.80736
466,55.84,70.066536
467,54.28,67.90116
468,50.56,65.34983
469,49.72,63.367706
470,43.73,62.243908
471,46.9,61.84221
472,47.34,62.050266
473,50.87,63.219227
474,55.84,66.485
475,57.26,71.16196
476,55.16,75.467514
477,51.79,76.200226
478,48.97,72.34241
479,42.4,67.585686
480,35.95,50.578434
481,28.950000000000003,50.4097
482,25.71,50.27501
483,23.96,50.162674
484,23.03,50.020374
485,27.450000000000003,50.057728
486,29.85,50.564407
487,41.05,52.01642
488,51.01,53.867455
489,53.5,54.426712
490,51.05,53.310013
491,47.29,52.09567
492,44.01,51.112167
493,42.6,50.51263
494,37.5,50.08822
495,37.5,49.62726
496,39.3,49.367195
497,48.69,49.464825
498,54.82,50.701553
499,57.24,52.82088
500,55.59,55.59594
501,52.91,55.689957
502,51.79,53.62895
503,46.64,52.394993
504,32.599999999999994,40.694466
505,25.0,39.781364
506,14.0,39.11149
507,11.96,38.336258
508,10.25,37.60894
509,10.25,37.003662
510,14.0,36.85509
511,18.4,38.069565
512,23.269999999999996,40.858
513,27.049999999999997,43.815018
514,32.05,44.315247
515,30.980000000000004,43.072647
516,27.510000000000005,41.6437
517,29.049999999999997,40.386185
518,29.049999999999997,38.948532
519,25.0,37.586483
520,25.0,37.089043
521,26.700000000000003,37.70526
522,32.8,40.41542
523,43.64,44.23838
524,49.29,47.86342
525,49.98,48.50107
526,40.0,46.030563
527,32.05,43.748886
528,21.200000000000003,27.234505
529,12.0,22.425838
530,3.500000000000007,18.4724
531,1.95000000000001,15.269802
532,1.95000000000001,13.069714
533,3.500000000000007,11.611252
534,8.670000000000009,12.12888
535,13.990000000000002,15.598663
536,19.049999999999997,22.43396
537,26.049999999999997,28.414684
538,30.0,29.25496
539,29.799999999999997,27.173023
540,29.049999999999997,24.16438
541,29.6,21.391926
542,29.799999999999997,18.54123
543,29.4,16.759613
544,29.799999999999997,17.669952
545,43.05,21.584835
546,52.87,29.752975
547,57.33,39.2649
548,59.26,44.405075
549,55.76,43.888977
550,53.93,38.836407
551,47.89,33.32749
552,46.62,38.669224
553,43.09,28.111626
554,36.6,17.269352
555,32.4,8.507702
556,32.14,3.3268852
557,36.6,3.4053001
558,51.23,11.77837
559,59.74,27.74268
560,72.03,40.7322
561,75.04,45.38996
562,74.95,45.072533
563,70.53,43.987747
564,69.02,43.212112
565,67.0,41.928146
566,63.24,39.673523
567,61.58,38.735863
568,64.83,39.645546
569,69.29,45.371872
570,73.88,53.19783
571,74.86,56.888813
572,70.22,59.29289
573,68.25,58.10613
574,58.4,51.075676
575,54.5,44.252594
576,57.69,51.741364
577,52.56,44.331535
578,51.41,37.587433
579,48.8,32.220448
580,48.6,29.840572
581,51.42,35.64688
582,59.53,51.608665
583,69.05,63.558735
584,73.95,68.106705
585,79.68,69.98836
586,73.91,70.43605
587,72.0,69.7985
588,70.0,67.73902
589,68.74,63.958946
590,68.09,58.01467
591,68.15,56.044296
592,68.75,61.989628
593,73.73,69.87406
594,82.04,73.793755
595,75.5,75.58064
596,74.61,76.642365
597,71.27,73.81394
598,66.83,66.39013
599,57.16,58.921024
600,49.24,57.217186
601,44.97,52.701405
602,43.32,48.31697
603,42.04,44.877144
604,42.27,43.699883
605,44.93,48.12121
606,51.25,58.1628
