,,MAE,MAPE
2021,1,11.619737948953336,73.49281575851413
2021,2,12.889185748677443,224.5424091994478
2021,3,8.087370146657324,25.014736725710485
2021,4,6.2091576052207165,22.134492261021634
2021,5,11.77348148639897,1499.755533444509
2021,6,6.904437768977285,15.25552744035945
2021,7,7.751801822338126,15.850447790536567
2021,8,10.238748620830114,31.43712513709821
2021,9,13.354699654271828,8.92985227980928
2021,10,23.65032904739616,16.856549883326924
2021,11,18.667882157377676,11.225289189769484
2021,12,38.24418236299643,95.66835980462638
