,,MAE,MAPE
2021,1,11.590586556670488,95.3567146912719
2021,2,13.628525548775992,310.4607769229568
2021,3,8.495130745569865,25.770823972066786
2021,4,6.567473858727349,18.086635493962618
2021,5,9.625108539929954,270.3298969882747
2021,6,6.1991668198903405,13.651893274182935
2021,7,8.700525162912184,16.66700312151486
2021,8,9.937460769940447,27.329602631541107
2021,9,12.312051253000893,8.094548155660254
2021,10,29.072119128729707,22.346385410557456
2021,11,17.97357141155667,9.985352859089817
2021,12,40.49963168578678,105.60543038652142
