,,MAE,MAPE
2020,6,2.375559166666666,8.243909532058483
2020,7,2.329986559139785,7.103785813084946
2020,8,2.8660099910394288,8.089872705687442
2020,9,2.810290046296289,7.77619399102674
2020,10,3.8386043906810023,21.65917671362963
2020,11,3.152125740740741,8.769015326178373
2020,12,4.4975024193548325,31.22303206176891
2021,1,8.460653315412191,66.22832735024211
2021,2,8.535539880952378,278.13518777305046
2021,3,6.955950627240146,19.986151691280867
2021,4,5.316891944444445,17.947063380699436
2021,5,6.133355286738349,395.50939968370136
2021,6,4.069984814814814,9.469022056768678
2021,7,5.490762813620072,11.437871402794597
2021,8,6.1888957437275955,18.563723850093503
2021,9,9.961119351851872,6.484359740623855
2021,10,17.371670743727574,12.501631808384502
2021,11,13.607692037037026,9.005040576487104
2021,12,27.724636111111092,59.8988293032817
