Fecha,Pred,Real,MAE,MAPE
2021-01-01 00:00:00,35.52167699224479,50.87,15.348323007755205,30.171659146363684
2021-01-01 01:00:00,32.44555265144106,48.19,15.744447348558936,32.67160686565457
2021-01-01 02:00:00,28.53400668328613,44.68,16.14599331671387,36.13695907948494
2021-01-01 03:00:00,24.01701023581032,38.5,14.482989764189679,37.618155231661504
2021-01-01 04:00:00,20.42261495362261,36.8,16.377385046377388,44.503763712982035
2021-01-01 05:00:00,20.44424643907493,36.55,16.105753560925066,44.0649892227772
2021-01-01 06:00:00,21.18337697890116,36.6,15.416623021098843,42.12192082267443
2021-01-01 07:00:00,22.318390142301816,36.55,14.231609857698182,38.937373071677655
2021-01-01 08:00:00,22.298461406093352,36.55,14.251538593906645,38.99189765774732
2021-01-01 09:00:00,22.050907832003197,36.55,14.4990921679968,39.6691988180487
2021-01-01 10:00:00,21.12777639655436,37.55,16.422223603445637,43.73428389732527
2021-01-01 11:00:00,21.683098448883253,37.55,15.866901551116744,42.255396940390796
2021-01-01 12:00:00,22.853051296858325,37.55,14.696948703141672,39.13967697241458
2021-01-01 13:00:00,25.096750858140553,37.55,12.453249141859445,33.164445118134346
2021-01-01 14:00:00,26.36860841108874,36.6,10.231391588911261,27.954621827626397
2021-01-01 15:00:00,24.06393129348048,35.5,11.43606870651952,32.21427804653386
2021-01-01 16:00:00,26.51024756217392,36.0,9.48975243782608,26.36042343840578
2021-01-01 17:00:00,32.424246413435995,38.5,6.075753586564005,15.781178146919494
2021-01-01 18:00:00,38.92679733696695,52.01,13.083202663033049,25.155167588988753
2021-01-01 19:00:00,42.096503028744735,55.16,13.063496971255262,23.68291691670642
2021-01-01 20:00:00,44.0159027483855,57.4,13.384097251614499,23.317242598631534
2021-01-01 21:00:00,43.099947673843246,53.86,10.760052326156753,19.977817167019595
2021-01-01 22:00:00,41.71214175179999,53.45,11.737858248200013,21.960445740318075
2021-01-01 23:00:00,36.20606194132298,49.72,13.51393805867702,27.180084591063995
2021-01-02 00:00:00,40.09384008882897,46.69,6.5961599111710285,14.127564598781387
2021-01-02 01:00:00,35.757486329498796,42.43,6.672513670501203,15.725933703750187
2021-01-02 02:00:00,32.95729227928987,40.1,7.142707720710135,17.812238705012803
2021-01-02 03:00:00,28.632143427511412,39.11,10.477856572488587,26.790735291456375
2021-01-02 04:00:00,26.649562498850596,37.55,10.900437501149401,29.029127832621576
2021-01-02 05:00:00,28.210212147593957,37.7,9.489787852406046,25.171851067390037
2021-01-02 06:00:00,32.06552605630009,39.6,7.534473943699915,19.02644935277756
2021-01-02 07:00:00,33.97106160147478,43.34,9.368938398525223,21.617301334852847
2021-01-02 08:00:00,38.683645415297455,48.45,9.766354584702547,20.15759460206924
2021-01-02 09:00:00,42.1227857135151,51.6,9.477214286484902,18.36669435365291
2021-01-02 10:00:00,42.86805584537632,52.0,9.131944154623682,17.561431066584003
2021-01-02 11:00:00,41.500392539890534,51.25,9.749607460109466,19.023624312408714
2021-01-02 12:00:00,40.27112575252476,50.56,10.288874247475242,20.34983039453173
2021-01-02 13:00:00,41.20101045990936,50.57,9.368989540090638,18.52677385819782
2021-01-02 14:00:00,40.46990655884389,50.57,10.100093441156112,19.972500378002987
2021-01-02 15:00:00,38.999157517707914,48.45,9.450842482292089,19.506382832388212
2021-01-02 16:00:00,41.14668769957805,50.25,9.103312300421948,18.11604437894915
