Fecha,Fecha,MAE,MAPE
2014,1,13.689694444444434,inf
2014,2,13.687589285714285,inf
2014,3,12.231088709677444,inf
2014,4,9.34075,52.6116679372667
2014,5,6.103763440860209,16.23265815935785
2014,6,8.156486111111112,21.507455399345886
2014,7,6.105362903225806,13.226233371739369
2014,8,4.337069892473116,8.800719052109732
2014,9,5.727069444444438,10.101934424420348
2014,10,9.993548387096766,22.16026728283524
2014,11,11.72180555555557,37.49274128059212
2014,12,8.418091397849466,31.510765389006977
2015,1,8.522983870967744,24.43115757406547
2015,2,10.775580357142848,37.610012571861134
2015,3,8.62209677419355,25.184835134786834
2015,4,9.317763888888901,24.26311456190653
2015,5,8.990618279569894,22.140667361761594
2015,6,4.674638888888891,8.860052870111101
2015,7,5.370793010752689,9.373280680829312
2015,8,7.789811827956997,15.877729224130379
2015,9,6.285694444444444,15.142594202642632
2015,10,5.852741935483868,12.443226512972664
2015,11,7.362624999999995,19.220601870719385
2015,12,6.497647849462364,14.782326177971138
2016,1,9.32818548387096,42.9419001255264
2016,2,8.565172413793096,54.43256868578545
2016,3,6.388897849462362,29.273623152787188
2016,4,6.807319444444445,36.70720756339587
2016,5,8.01475806451613,52.313984011159846
2016,6,4.656916666666665,13.06534485335042
2016,7,3.002069892473117,7.674582889227274
2016,8,3.4340188172043047,8.6535015210098
2016,9,3.194416666666662,7.614595382912445
2016,10,5.2399865591397825,10.338446500080705
2016,11,6.990875000000003,14.113656512408289
2016,12,5.435994623655914,9.513039752178228
2017,1,6.999556451612896,10.23836777373287
2017,2,7.032068452380945,16.866497724003413
2017,3,6.437110215053767,19.08592049278892
2017,4,6.0203194444444454,24.029687592777606
2017,5,5.475295698924727,12.229197635841444
2017,6,3.430472222222225,7.081596014998659
2017,7,3.175201612903223,6.652333609739892
2017,8,3.564166666666665,7.938479027648601
2017,9,3.9085972222222254,8.510529449272035
2017,10,5.018588709677418,9.529426319235691
2017,11,5.823138888888887,10.96565218702739
2017,12,8.174462365591397,23.45035952511766
2018,1,7.571505376344073,25.59111255860285
2018,2,5.199970238095237,9.815738061807886
2018,3,10.396451612903236,62.503082424059045
2018,4,8.50841666666668,24.475845823428212
2018,5,4.675080645161291,9.994412433944671
2018,6,3.661236111111112,6.581916247874501
2018,7,2.7740994623655895,4.594109889577289
2018,8,3.215161290322583,5.155657446786271
2018,9,3.2780555555555564,4.800593760735207
2018,10,5.9456989247311824,9.789020910750901
2018,11,4.841388888888888,8.180128298984538
2018,12,3.75959677419355,6.297947853505967
2019,1,4.3238440860215,7.932252153001682
2019,2,5.79904761904762,12.893207068612522
2019,3,6.656922043010764,19.191646803551997
2019,4,6.53141666666667,16.304837944387252
2019,5,7.098346774193547,16.242575223211578
2019,6,4.139124999999996,9.08697121388683
2019,7,3.3092741935483834,6.593389153070867
2019,8,2.992500000000002,6.862846909296228
2019,9,4.619722222222227,11.506938546823346
2019,10,4.906908602150543,10.973045501932985
2019,11,6.022097222222222,18.1193853958598
2019,12,6.726129032258074,65.21995496691555
2020,1,5.138750000000005,13.460577696419177
2020,2,5.904669540229887,21.01420614758875
2020,3,4.367258064516127,18.141171947303828
2020,4,4.8351388888888955,36.99452406015495
2020,5,4.310026881720432,28.835567910730227
2020,6,4.257555555555556,15.5320850797326
2020,7,3.984448924731181,12.178099758429648
2020,8,4.771881720430114,13.667934289705226
2020,9,5.737041666666666,15.46264932966722
2020,10,7.345524193548392,36.20968870852492
2020,11,5.806583333333334,16.8053493721328
2020,12,7.921223118279565,48.32259712238342
2021,1,11.66920698924733,88.30387983132209
2021,2,14.756949404761905,373.16481532389923
2021,3,9.488427419354858,28.19094316781505
2021,4,7.661180555555562,17.737826201181786
2021,5,13.827553763440857,329.5172343763739
2021,6,8.301444444444451,16.150580851161106
2021,7,9.269744623655916,17.163639153978476
2021,8,11.175376344086017,29.478106053708537
2021,9,13.15120833333334,8.764215414493188
2021,10,29.150725806451618,20.996532228853898
2021,11,21.13829166666666,12.833382170684224
2021,12,42.72704301075267,102.70297395663016
