,Pred,Real,MAE,MAPE
2021-01-01 00:00:00,36.88220115909604,50.87,13.987798840903956,27.497147318466595
2021-01-01 01:00:00,33.129181041242916,48.19,15.060818958757082,31.252996386713182
2021-01-01 02:00:00,29.65587382988584,44.68,15.024126170114158,33.62606573436472
2021-01-01 03:00:00,26.055521048052245,38.5,12.444478951947755,32.32332195311105
2021-01-01 04:00:00,23.825572944938976,36.8,12.974427055061021,35.256595258317994
2021-01-01 05:00:00,24.13365787900821,36.55,12.416342120991786,33.97084027631132
2021-01-01 06:00:00,25.75877004741629,36.6,10.84122995258371,29.620846864982813
2021-01-01 07:00:00,27.642140433156985,36.55,8.907859566843012,24.371708801212073
2021-01-01 08:00:00,28.09946424718195,36.55,8.450535752818048,23.120480855863335
2021-01-01 09:00:00,28.098328473418032,36.55,8.451671526581965,23.123588308021795
2021-01-01 10:00:00,27.036772055943768,37.55,10.51322794405623,27.997943925582504
2021-01-01 11:00:00,26.986020171544087,37.55,10.56397982845591,28.13310207311827
2021-01-01 12:00:00,28.02341620544931,37.55,9.526583794550689,25.37039625712567
2021-01-01 13:00:00,28.40088514301426,37.55,9.149114856985737,24.365152748297568
2021-01-01 14:00:00,29.197965044127656,36.6,7.402034955872345,20.22413922369493
2021-01-01 15:00:00,28.25425235949898,35.5,7.245747640501019,20.410556733805688
2021-01-01 16:00:00,29.49549251365814,36.0,6.504507486341861,18.068076350949614
2021-01-01 17:00:00,34.10399617987445,38.5,4.39600382012555,11.418191740585844
2021-01-01 18:00:00,40.38172151998406,52.01,11.628278480015936,22.357774428025255
2021-01-01 19:00:00,42.12167375980542,55.16,13.038326240194579,23.637284699410042
2021-01-01 20:00:00,43.04358060806032,57.4,14.356419391939681,25.01118360965101
2021-01-01 21:00:00,41.67877697998912,53.86,12.181223020010883,22.616455662849763
2021-01-01 22:00:00,40.307121740797555,53.45,13.142878259202448,24.589108062118704
2021-01-01 23:00:00,36.74858984487316,49.72,12.97141015512684,26.088918252467497
2021-01-02 00:00:00,37.433167938159585,46.69,9.256832061840413,19.826155626130678
2021-01-02 01:00:00,33.81132485347299,42.43,8.61867514652701,20.31269183720719
2021-01-02 02:00:00,30.774973817390002,40.1,9.32502618261,23.25442938306733
2021-01-02 03:00:00,27.786566472908525,39.11,11.323433527091474,28.952783244928344
2021-01-02 04:00:00,26.224614555725488,37.55,11.32538544427451,30.160813433487377
2021-01-02 05:00:00,27.36135393699049,37.7,10.338646063009513,27.423464358115417
2021-01-02 06:00:00,29.36440765177604,39.6,10.23559234822396,25.84745542480798
2021-01-02 07:00:00,31.655601922969566,43.34,11.684398077030437,26.959847893471238
2021-01-02 08:00:00,35.90525943734934,48.45,12.54474056265066,25.89213738421189
2021-01-02 09:00:00,38.7659008183968,51.6,12.8340991816032,24.872285235665114
2021-01-02 10:00:00,39.947717676586414,52.0,12.052282323413586,23.177466006564586
2021-01-02 11:00:00,38.910042733048655,51.25,12.339957266951345,24.07796539892945
2021-01-02 12:00:00,38.192747339151175,50.56,12.367252660848827,24.460547193134545
2021-01-02 13:00:00,39.6168123830814,50.57,10.953187616918598,21.65945741925766
2021-01-02 14:00:00,38.25754457484809,50.57,12.31245542515191,24.3473510483526
2021-01-02 15:00:00,36.76120035710507,48.45,11.688799642894935,24.125489459019473
2021-01-02 16:00:00,38.97250037163392,50.25,11.27749962836608,22.44278533008175
2021-01-02 17:00:00,42.75815345518814,54.23,11.471846544811854,21.154059643761485
2021-01-02 18:00:00,48.327497504398195,58.65,10.322502495601803,17.600174758059342
2021-01-02 19:00:00,49.53093751925765,60.43,10.899062480742352,18.035847229426363
2021-01-02 20:00:00,50.847240180902595,60.03,9.182759819097406,15.296951222884234
2021-01-02 21:00:00,49.02804669216525,55.03,6.001953307834754,10.906693272460027
2021-01-02 22:00:00,46.64677888789329,52.25,5.603221112106709,10.723868157142027
2021-01-02 23:00:00,43.06998822491088,48.45,5.380011775089123,11.104255469740192
2021-01-03 00:00:00,43.16278409337108,46.11,2.9472159066289194,6.391706585618998
2021-01-03 01:00:00,38.69922576765538,43.0,4.300774232344622,10.001800540336331
2021-01-03 02:00:00,35.151434065115744,39.55,4.398565934884253,11.121532073032245
2021-01-03 03:00:00,33.246362198515385,37.44,4.193637801484613,11.200955666358475
2021-01-03 04:00:00,32.88780503077785,35.64,2.7521949692221526,7.722208106683929
2021-01-03 05:00:00,33.83648982001166,35.5,1.663510179988343,4.685944168981248
2021-01-03 06:00:00,35.96994793618136,36.14,0.17005206381863758,0.47053697791543325
2021-01-03 07:00:00,36.70109405770686,36.97,0.2689059422931379,0.727362570443976
2021-01-03 08:00:00,39.636937440438075,38.92,0.7169374404380733,1.8420797544657586
2021-01-03 09:00:00,42.335983097608505,44.49,2.154016902391497,4.841575415579899
2021-01-03 10:00:00,43.007979732736075,49.0,5.992020267263925,12.228612790334541
2021-01-03 11:00:00,43.13123283436765,50.3,7.168767165632346,14.252022198076236
2021-01-03 12:00:00,43.98688649028532,48.0,4.013113509714678,8.360653145238912
2021-01-03 13:00:00,43.8794564279891,46.64,2.760543572010903,5.918832701567116
2021-01-03 14:00:00,43.99785837422556,44.01,0.012141625774440001,0.027588333956918887
2021-01-03 15:00:00,43.0186523826146,41.27,1.748652382614594,4.237102938247139
2021-01-03 16:00:00,44.63267273238559,49.92,5.287327267614408,10.591601096983991
2021-01-03 17:00:00,48.82447375744658,55.16,6.335526242553414,11.485725602888714
2021-01-03 18:00:00,54.18842287383332,59.29,5.101577126166681,8.604447843087673
2021-01-03 19:00:00,56.459739219927634,61.09,4.630260780072369,7.579408708581386
