,Predicciones,Reales
2021-01-05 16:00:00,61.04126666666664,69.75
2021-01-05 17:00:00,62.96113333333336,71.9
2021-01-05 18:00:00,64.8456666666666,80.0
2021-01-05 19:00:00,64.62166666666661,80.0
2021-01-05 20:00:00,64.22726666666664,75.99
2021-01-05 21:00:00,64.34979999999995,75.39
2021-01-05 22:00:00,61.34213333333333,72.69
2021-01-05 23:00:00,56.46119999999996,70.0
2021-01-06 00:00:00,71.7433,69.02
2021-01-06 01:00:00,62.27019999999997,67.54
2021-01-06 02:00:00,56.35719999999995,60.39
2021-01-06 03:00:00,52.72379999999998,55.75
2021-01-06 04:00:00,51.107199999999985,55.16
2021-01-06 05:00:00,52.73506666666664,53.51
2021-01-06 06:00:00,55.27419999999996,55.18
2021-01-06 07:00:00,61.21219999999996,67.61
2021-01-06 08:00:00,63.16026666666662,70.0
2021-01-06 09:00:00,65.20359999999998,73.54
2021-01-06 10:00:00,66.24266666666664,75.95
2021-01-06 11:00:00,66.44666666666664,77.18
2021-01-06 12:00:00,65.80233333333331,77.01
2021-01-06 13:00:00,66.54279999999997,73.79
2021-01-06 14:00:00,66.16719999999997,73.02
2021-01-06 15:00:00,64.31226666666664,70.89
2021-01-06 16:00:00,64.6439333333333,72.85
2021-01-06 17:00:00,72.35546666666664,78.0
2021-01-06 18:00:00,74.78839999999994,83.35
2021-01-06 19:00:00,74.80579999999995,90.0
2021-01-06 20:00:00,74.86759999999995,79.6
2021-01-06 21:00:00,75.08533333333327,75.4
2021-01-06 22:00:00,74.96739999999996,72.1
2021-01-06 23:00:00,72.68779999999992,67.54
2021-01-07 00:00:00,67.56646666666674,77.0
2021-01-07 01:00:00,58.405533333333366,65.85
2021-01-07 02:00:00,55.039533333333345,63.78
2021-01-07 03:00:00,52.341200000000015,59.31
2021-01-07 04:00:00,52.34940000000001,58.0
2021-01-07 05:00:00,52.60773333333336,60.65
2021-01-07 06:00:00,57.698666666666675,65.0
2021-01-07 07:00:00,69.58673333333338,83.98
2021-01-07 08:00:00,72.42686666666673,95.02
2021-01-07 09:00:00,78.85206666666672,99.0
2021-01-07 10:00:00,79.85126666666672,100.0
2021-01-07 11:00:00,80.67100000000003,100.0
2021-01-07 12:00:00,78.56546666666678,100.0
2021-01-07 13:00:00,78.38226666666672,100.0
2021-01-07 14:00:00,76.79066666666677,100.0
2021-01-07 15:00:00,76.81173333333335,99.85
2021-01-07 16:00:00,77.89066666666675,97.85
2021-01-07 17:00:00,82.48113333333339,100.0
2021-01-07 18:00:00,84.27873333333342,106.95
2021-01-07 19:00:00,85.23860000000005,108.97
2021-01-07 20:00:00,82.62340000000006,101.85
2021-01-07 21:00:00,79.09680000000003,101.17
2021-01-07 22:00:00,78.84880000000005,100.0
2021-01-07 23:00:00,74.28820000000007,90.0
2021-01-08 00:00:00,83.59313333333336,95.98
2021-01-08 01:00:00,71.68846666666674,77.93
2021-01-08 02:00:00,68.1379333333334,69.55
2021-01-08 03:00:00,64.4059333333334,65.0
2021-01-08 04:00:00,61.35860000000002,60.0
2021-01-08 05:00:00,63.88080000000004,61.1
2021-01-08 06:00:00,66.58506666666675,69.51
2021-01-08 07:00:00,72.85953333333337,86.93
2021-01-08 08:00:00,91.70493333333339,103.54
2021-01-08 09:00:00,97.8922666666667,110.45
2021-01-08 10:00:00,99.22600000000006,110.0
2021-01-08 11:00:00,98.24840000000005,110.45
2021-01-08 12:00:00,98.06706666666672,110.0
2021-01-08 13:00:00,95.94640000000004,110.0
2021-01-08 14:00:00,95.12313333333336,107.75
2021-01-08 15:00:00,92.36693333333338,100.98
2021-01-08 16:00:00,92.68553333333337,100.36
2021-01-08 17:00:00,94.7118,110.0
2021-01-08 18:00:00,98.12153333333336,113.37
2021-01-08 19:00:00,101.7621333333333,114.89
2021-01-08 20:00:00,98.70120000000001,110.0
2021-01-08 21:00:00,96.62740000000002,110.0
2021-01-08 22:00:00,94.19333333333337,97.45
2021-01-08 23:00:00,75.49086666666676,74.49
2021-01-09 00:00:00,97.4545333333333,70.17
2021-01-09 01:00:00,74.45020000000007,61.64
2021-01-09 02:00:00,70.80906666666672,55.96
2021-01-09 03:00:00,65.7751333333334,51.88
2021-01-09 04:00:00,59.96646666666671,50.25
2021-01-09 05:00:00,63.285533333333404,50.25
2021-01-09 06:00:00,72.04906666666675,51.39
2021-01-09 07:00:00,97.73960000000001,55.62
2021-01-09 08:00:00,102.35440000000001,60.39
2021-01-09 09:00:00,103.30626666666672,72.03
2021-01-09 10:00:00,110.4102666666667,92.01
2021-01-09 11:00:00,111.27340000000007,95.98
2021-01-09 12:00:00,111.18513333333338,75.02
2021-01-09 13:00:00,111.31120000000006,75.03
2021-01-09 14:00:00,111.18760000000005,76.64
2021-01-09 15:00:00,106.77380000000004,72.85
2021-01-09 16:00:00,103.5224666666667,75.5
2021-01-09 17:00:00,103.87786666666669,100.0
2021-01-09 18:00:00,109.70120000000006,114.89
2021-01-09 19:00:00,111.53800000000003,120.0
2021-01-09 20:00:00,112.1675333333334,121.24
2021-01-09 21:00:00,111.4600666666667,120.69
2021-01-09 22:00:00,103.3085333333334,115.0
2021-01-09 23:00:00,95.84086666666664,101.41
2021-01-10 00:00:00,73.44306666666664,62.0
2021-01-10 01:00:00,66.8525333333333,55.75
2021-01-10 02:00:00,65.3879333333333,53.14
2021-01-10 03:00:00,53.270833333333364,49.03
2021-01-10 04:00:00,50.818033333333354,48.45
2021-01-10 05:00:00,50.802300000000024,49.07
2021-01-10 06:00:00,63.825733333333325,50.87
