,,MAE,MAPE
2020,6,2.2576808480107595,7.741589964418183
2020,7,2.252273210736152,7.045225811496226
2020,8,2.8416550240611724,8.00402028076954
2020,9,2.80450672486953,7.494272678289364
2020,10,4.237759789885587,25.304134442589294
2020,11,3.101694227512418,8.944052558268623
2020,12,4.88841496399026,31.85633427415245
2021,1,8.166038821601845,69.72411342204889
2021,2,8.238738742705126,210.28432641930522
2021,3,7.342027811573066,20.2423492451556
2021,4,7.471748974830627,19.369500749778698
2021,5,8.911828803049334,1016.4591204815431
2021,6,4.7697252105297805,9.215010933645084
2021,7,5.708022047825417,11.179623343068185
2021,8,6.847110950053782,20.781181580587234
2021,9,9.172324422592785,6.03364978981042
2021,10,17.489064208688674,13.515425599514618
2021,11,13.148217416059614,9.149240848789287
2021,12,23.779377445641913,77.01858099845164
