,Real,Pred,MAE,MAPE
2021-01-01 00:00:00,46.69,46.42944,0.26056045532226335,0.5580648004332049
2021-01-01 01:00:00,42.43,40.841316,1.5886837768554685,3.744246469138507
2021-01-01 02:00:00,40.1,36.087738,4.012261962890626,10.005640805213533
2021-01-01 03:00:00,39.11,32.865646,6.244353637695312,15.966130497814657
2021-01-01 04:00:00,37.55,31.354277,6.195723342895505,16.499929009042624
2021-01-01 05:00:00,37.7,31.014843,6.685157012939456,17.732511970661687
2021-01-01 06:00:00,39.6,31.931389,7.668611145019533,19.36517965914023
2021-01-01 07:00:00,43.34,34.551247,8.788753356933597,20.278618728503915
2021-01-01 08:00:00,48.45,37.542236,10.907763671875003,22.513444111197114
2021-01-01 09:00:00,51.6,39.417843,12.182157135009767,23.608831656995672
2021-01-01 10:00:00,52.0,40.049213,11.950786590576172,22.982281904954178
2021-01-01 11:00:00,51.25,39.6518,11.598201751708984,22.630637564310213
2021-01-01 12:00:00,50.56,38.60313,11.95686965942383,23.648871952974346
2021-01-01 13:00:00,50.57,37.77751,12.792488403320313,25.296595616611256
2021-01-01 14:00:00,50.57,37.225937,13.344063110351563,26.387310876708646
2021-01-01 15:00:00,48.45,37.19197,11.25802917480469,23.236386325706274
2021-01-01 16:00:00,50.25,39.323997,10.926002502441406,21.74328856207245
2021-01-01 17:00:00,54.23,44.471855,9.758144836425778,17.99399748557215
2021-01-01 18:00:00,58.64999999999999,49.519375,9.130625152587882,15.56798832495803
2021-01-01 19:00:00,60.43000000000001,52.76284,7.667159729003913,12.68767123780227
2021-01-01 20:00:00,60.03,53.608265,6.421735076904298,10.697543023328832
2021-01-01 21:00:00,55.03,52.288704,2.74129608154297,4.981457535059004
2021-01-01 22:00:00,52.25,49.234913,3.015087127685547,5.770501679780951
2021-01-01 23:00:00,48.45,45.32772,3.122279357910159,6.444333040062247
2021-01-02 00:00:00,46.11,45.35772,0.7522805786132807,1.6314911702738684
2021-01-02 01:00:00,43.0,42.17897,0.8210296630859375,1.90937130950218
2021-01-02 02:00:00,39.55,40.0054,0.45540161132812784,1.151457930033193
2021-01-02 03:00:00,37.44,38.533646,1.0936456298828148,2.9210620456271763
2021-01-02 04:00:00,35.64,37.649887,2.009887084960937,5.639413818633381
2021-01-02 05:00:00,35.5,37.503307,2.003307342529297,5.643119274730414
2021-01-02 06:00:00,36.14,38.138885,1.9988854980468744,5.530950464988584
2021-01-02 07:00:00,36.97,40.13233,3.1623318481445324,8.553778328765302
2021-01-02 08:00:00,38.92,43.158615,4.238615112304686,10.890583536240198
2021-01-02 09:00:00,44.49,45.797188,1.3071878051757793,2.9381609466751613
2021-01-02 10:00:00,49.0,46.958015,2.0419845581054688,4.167315424705039
2021-01-02 11:00:00,50.3,46.752937,3.547062683105466,7.051814479334922
2021-01-02 12:00:00,48.0,46.07507,1.9249305725097656,4.010272026062012
2021-01-02 13:00:00,46.64,45.324974,1.3150259399414068,2.8195238849515585
2021-01-02 14:00:00,44.01,44.37625,0.366251220703127,0.8322000015976528
2021-01-02 15:00:00,41.27,43.734627,2.464626770019528,5.971957281365467
2021-01-02 16:00:00,49.92,44.898773,5.021226806640627,10.058547288943563
2021-01-02 17:00:00,55.16,49.916607,5.243393096923825,9.50578879065233
2021-01-02 18:00:00,59.29,55.341164,3.948836364746093,6.660206383447618
2021-01-02 19:00:00,61.09,57.438347,3.6516531372070347,5.9774973599722285
2021-01-02 20:00:00,60.0,56.562588,3.4374122619628906,5.729020436604817
2021-01-02 21:00:00,59.4,53.1755,6.224501037597655,10.478957975753628
2021-01-02 22:00:00,55.36,49.64893,5.711070404052734,10.316239891713753
2021-01-02 23:00:00,53.06,45.8311,7.228899536132815,13.6240096798583
2021-01-03 00:00:00,50.23,48.5675,1.6624989318847625,3.3097729083909266
2021-01-03 01:00:00,47.01,44.62277,2.3872315979003886,5.07813571133884
2021-01-03 02:00:00,43.79,41.298897,2.491103210449218,5.68874905332089
2021-01-03 03:00:00,41.65,38.583817,3.066183471679686,7.3617850460496665
2021-01-03 04:00:00,41.62,36.98492,4.635079498291013,11.136663859420985
2021-01-03 05:00:00,44.5,37.336548,7.1634521484375,16.09764527738764
2021-01-03 06:00:00,56.0,41.167305,14.832695007324219,26.48695537022182
2021-01-03 07:00:00,62.0,47.737225,14.262775421142578,23.004476485713834
2021-01-03 08:00:00,64.84,51.709988,13.130012359619144,20.249864835933288
2021-01-03 09:00:00,68.25,53.472088,14.777912139892578,21.652618519989126
2021-01-03 10:00:00,65.97,53.53267,12.437330932617186,18.85301035715808
2021-01-03 11:00:00,63.93,51.977306,11.952693634033203,18.6965331362947
2021-01-03 12:00:00,63.94,50.057907,13.88209289550781,21.711124328288726
2021-01-03 13:00:00,63.94,48.231834,15.708165588378904,24.567040332153432
2021-01-03 14:00:00,61.97,46.427475,15.542525024414061,25.080724583530838
2021-01-03 15:00:00,62.45,46.27838,16.171618652343753,25.895306088620902
2021-01-03 16:00:00,63.900000000000006,51.817123,12.082876586914068,18.90904004211904
2021-01-03 17:00:00,67.02,56.27767,10.742328186035152,16.02854101169077
2021-01-03 18:00:00,71.05,58.68212,12.367878723144528,17.407288843271683
2021-01-03 19:00:00,72.6,59.51769,13.082311248779291,18.019712463883323
2021-01-03 20:00:00,70.0,58.85939,11.140609741210938,15.91515677315848
2021-01-03 21:00:00,66.0,56.493233,9.506767272949219,14.404192837801846
2021-01-03 22:00:00,62.47999999999999,53.545544,8.934456329345693,14.299706032883632
2021-01-03 23:00:00,61.25,50.418953,10.831047058105469,17.6833421356824
2021-01-04 00:00:00,64.68,57.54248,7.137519531250007,11.035126053262223
2021-01-04 01:00:00,56.25,53.262688,2.9873123168945312,5.310777452256945
2021-01-04 02:00:00,51.86,49.481506,2.3784936523437494,4.586374185005301
2021-01-04 03:00:00,50.91,46.589146,4.320854339599606,8.487240894911817
2021-01-04 04:00:00,50.56,45.051647,5.508352813720705,10.894685153719749
2021-01-04 05:00:00,51.25,45.774662,5.475337982177734,10.683586306688262
2021-01-04 06:00:00,58.45,51.4032,7.046801757812503,12.056119346129176
2021-01-04 07:00:00,68.3,58.986843,9.313156890869138,13.635661626455548
2021-01-04 08:00:00,70.41,63.299904,7.11009613037109,10.098133972974138
